iter	Passed	Remaining
0	66	6617
1	69	3384
2	69	2259
3	71	1710
4	72	1375
5	73	1155
6	74	994
7	75	873
8	77	778
9	78	702
10	78	638
11	79	586
12	81	542
13	82	505
14	83	470
15	84	445
16	86	419
17	87	400
18	89	381
19	90	361
20	92	346
21	93	331
22	94	316
23	95	303
24	96	290
25	98	279
26	99	268
27	100	258
28	101	248
29	102	239
30	103	230
31	104	222
32	106	216
33	108	210
34	109	203
35	110	196
36	111	190
37	112	183
38	114	178
39	115	173
40	117	169
41	119	164
42	120	159
43	122	155
44	123	150
45	124	146
46	125	141
47	126	136
48	127	132
49	128	128
50	129	124
51	131	121
52	133	118
53	134	114
54	135	110
55	137	107
56	138	104
57	139	100
58	140	97
59	141	94
60	142	91
61	143	87
62	144	84
63	146	82
64	148	79
65	150	77
66	151	74
67	152	71
68	154	69
69	155	66
70	156	64
71	157	61
72	158	58
73	159	56
74	160	53
75	162	51
76	163	48
77	165	46
78	166	44
79	167	41
80	168	39
81	169	37
82	170	34
83	171	32
84	171	30
85	173	28
86	173	25
87	174	23
88	175	21
89	177	19
90	178	17
91	180	15
92	181	13
93	182	11
94	183	9
95	184	7
96	185	5
97	186	3
98	187	1
99	188	0
